Название;Цена;При обмене;Характеристика;Ссылка
VARTA Powersports AGM YT12A-4/YT12A-BS 12V 11Ah 160А (150x88x105) прямая пол. 511 901 014, сухозар.;3 950 руб.;3 900 руб.при обмене;Емкость11СтранаВьетнамJIS-кодYT12A-4Пусковой ток160ПолярностьПрямаяТипоразмер150x88x105;https://akb.ru//product/2153-VARTA_Powersports_AGM_YT12A-4YT12A-BS_12V_11Ah_160A_(150x88x105)_pryamaya_pol_511_901_014_suhozar.html
VARTA Powersports Freshpack YB18L-A 12V 18Ah 200А (181x92x164) обр. пол. 518 015 018, сухозар.;3 950 руб.;3 850 руб.при обмене;Емкость18СтранаКитайJIS-кодYB18L-AПусковой ток200ПолярностьОбратнаяТипоразмер181x92x164;https://akb.ru//product/91629-VARTA_Powersports_Freshpack_YB18L-A_12V_18Ah_200A_(181x92x164)_obr_pol_518_015_018_suhozar.html
VARTA Powersports AGM TTZ12S-4/TTZ12S-BS 12V 9Ah 200А (150x87x110) прямая пол. 509 901 020, сухозар.;4 050 руб.;4 000 руб.при обмене;Емкость7СтранаВьетнамJIS-кодYTZ12S-4Пусковой ток200ПолярностьПрямаяТипоразмер150x87x110;https://akb.ru//product/1275-VARTA_Powersports_AGM_TTZ12S-4TTZ12S-BS_12V_9Ah_200A_(150x87x110)_pryamaya_pol_509_901_020_suhozar.html
VARTA Powersports Freshpack 51814 12V 18Ah 100А (186x82x171) обр. пол. 518 014 015, сухозар.;4 200 руб.;4 100 руб.при обмене;Емкость18СтранаКитайJIS-код51814Пусковой ток160ПолярностьОбратнаяТипоразмер186x82x171;https://akb.ru//product/91625-VARTA_Powersports_Freshpack_51814_12V_18Ah_100A_(186x82x171)_obr_pol_518_014_015_suhozar.html
VARTA Powersports AGM YTX16-4/YTX16-BS 12V 14Ah 210А (150x87x161) прямая пол. 514 902 022, сухозар.;4 350 руб.;4 300 руб.при обмене;Емкость14СтранаВьетнамJIS-кодYTX16-BSПусковой ток210ПолярностьПрямаяТипоразмер150x87x161;https://akb.ru//product/2038-VARTA_Powersports_AGM_YTX16-4YTX16-BS_12V_14Ah_210A_(150x87x161)_pryamaya_pol_514_902_022_suhozar.html
VARTA Powersports AGM YTX20L-4/YTX20L-BS 12V 18Ah 250А (177x88x156) обр. пол. 518 901 026, сухозар.;4 350 руб.;4 250 руб.при обмене;Емкость18СтранаВьетнамJIS-кодYTX20L-BSПусковой ток250ПолярностьОбратнаяТипоразмер177x88x156;https://akb.ru//product/91606-VARTA_Powersports_AGM_YTX20L-4YTX20L-BS_12V_18Ah_250A_(177x88x156)_obr_pol_518_901_026_suhozar.html
VARTA Powersports AGM YTX20-BS 12V 18Ah 250А (177x88x156) прям. пол. 518 902 026, сухозар.;4 350 руб.;4 250 руб.при обмене;Емкость18СтранаВьетнамJIS-кодYTX20-BSПусковой ток250ПолярностьПрямаяТипоразмер177x88x156;https://akb.ru//product/91631-VARTA_Powersports_AGM_YTX20-BS_12V_18Ah_250A_(177x88x156)_pryam_pol_518_902_026_suhozar.html
VARTA Powersports AGM YTX16-4-1 12V 14Ah 210А (150x87x161) п/п 514 901 022, сух.;4 500 руб.;4 450 руб.при обмене;Емкость14СтранаВьетнамJIS-кодYTX16-BS-1Пусковой ток210ПолярностьПрямаяТипоразмер150x87x161;https://akb.ru//product/91630-VARTA_Powersports_AGM_YTX16-4-1_12V_14Ah_210A_(150x87x161)_pp_514_901_022_suh.html
VARTA Powersports Freshpack 12V 19Ah 240А (176x101x176) обр. пол. 519 014 018, сухозар.;4 565 руб.;4 465 руб.при обмене;Емкость19СтранаКитайJIS-кодYB16CL-BПусковой ток240ПолярностьОбратнаяТипоразмер176x101x176;https://akb.ru//product/91627-VARTA_Powersports_Freshpack_12V_19Ah_240A_(176x101x176)_obr_pol_519_014_018_suhozar.html
VARTA Powersports Freshpack YB16-B 19 Ач 240А (176x101x156) прям. пол. 519 012 019, сухозар.;4 600 руб.;4 500 руб.при обмене;Емкость19СтранаКитайJIS-кодYB16-BПусковой ток240ПолярностьПрямаяТипоразмер176x101x156;https://akb.ru//product/2094-VARTA_Powersports_Freshpack_YB16-B_19_Ach_240A_(176x101x156)_pryam_pol_519_012_019_suhozar.html
VARTA Powersports AGM TTZ14S-4 12V 11Ah 230А (150x87x110) п/п 511 902 023, сух.;4 600 руб.;4 550 руб.при обмене;Емкость11СтранаВьетнамJIS-кодYTZ14S-BSПусковой ток230ПолярностьПрямаяТипоразмер150x87x110;https://akb.ru//product/91605-VARTA_Powersports_AGM_TTZ14S-4_12V_11Ah_230A_(150x87x110)_pp_511_902_023_suh.html
VARTA Powersports Freshpack Y50-N18L-A 12V 20Ah 260А (207x92x164) о/п 520 012 020, сух.;4 665 руб.;4 565 руб.при обмене;Емкость20СтранаКитайJIS-кодY50-N18L-AПусковой ток260ПолярностьОбратнаяТипоразмер207x92x164;https://akb.ru//product/91628-VARTA_Powersports_Freshpack_Y50-N18L-A_12V_20Ah_260A_(207x92x164)_op_520_012_020_suh.html
VARTA Powersports Freshpack 519013 12V 19Ah 100А (184x77x170) обр. пол. 519 013 017, сухозар.;4 800 руб.;4 700 руб.при обмене;Емкость19СтранаКитайJIS-кодYB10L-A2Пусковой ток100ПолярностьОбратнаяТипоразмер184x77x170;https://akb.ru//product/91593-VARTA_Powersports_Freshpack_519013_12V_19Ah_100A_(184x77x170)_obr_pol_519_013_017_suhozar.html
VARTA Powersports AGM YT14B-4/YT14B-BS 12V 13Ah 190А (152x70x150) прямая пол. 512 903 013, сухозар.;4 920 руб.;4 870 руб.при обмене;Емкость12СтранаВьетнамJIS-кодYT14B-4Пусковой ток190ПолярностьПрямаяТипоразмер150x70x150;https://akb.ru//product/1289-VARTA_Powersports_AGM_YT14B-4YT14B-BS_12V_13Ah_190A_(152x70x150)_pryamaya_pol_512_903_013_suhozar.html
VARTA Powersports Gardening U1R(9) 12V 22Ah 340А (196x131x183) обр. пол. 522 451 034;5 500 руб.;5 400 руб.при обмене;Емкость22СтранаКитайПусковой ток340ПолярностьОбратнаяТипоразмер196x131x183;https://akb.ru//product/91600-VARTA_Powersports_Gardening_U1R(9)_12V_22Ah_340A_(196x131x183)_obr_pol_522_451_034.html
VARTA Powersports Freshpack 12N24-4 12V 24Ah 200А (186x125x178) прям. пол. 524 101 020, сухозар.;5 500 руб.;5 400 руб.при обмене;Емкость20СтранаКитайJIS-код12N24-4Пусковой ток260ПолярностьПрямаяТипоразмер186x125x178;https://akb.ru//product/91622-VARTA_Powersports_Freshpack_12N24-4_12V_24Ah_200A_(186x125x178)_pryam_pol_524_101_020_suhozar.html
VARTA Powersports Freshpack 53030 12V 30Ah 180А (186x130x171) обр. пол. 530 030 030, сухозар.;5 575 руб.;5 475 руб.при обмене;Емкость30СтранаКитайJIS-код53030Пусковой ток180ПолярностьОбратнаяТипоразмер186x130x171;https://akb.ru//product/91626-VARTA_Powersports_Freshpack_53030_12V_30Ah_180A_(186x130x171)_obr_pol_530_030_030_suhozar.html
VARTA Powersports AGM YB30L-B 12V 30Ah 300А (168x132x176) обр. пол. 530 400 030, сухозар.;5 700 руб.;5 600 руб.при обмене;Емкость30СтранаВьетнамJIS-кодYB30L-BПусковой ток300ПолярностьОбратнаяТипоразмер168x132x176;https://akb.ru//product/91632-VARTA_Powersports_AGM_YB30L-B_12V_30Ah_300A_(168x132x176)_obr_pol_530_400_030_suhozar.html
VARTA Powersports Freshpack YB16L-B 12V 19Ah 240А (176x101x156) обр. пол. 519 011 019, сухозар.;5 750 руб.;5 650 руб.при обмене;Емкость19СтранаКитайJIS-кодYB16L-BПусковой ток240ПолярностьОбратнаяТипоразмер176x101x156;https://akb.ru//product/91623-VARTA_Powersports_Freshpack_YB16L-B_12V_19Ah_240A_(176x101x156)_obr_pol_519_011_019_suhozar.html
VARTA Powersports Freshpack 52515 12V 25Ah 300А (186x130x171) о/п 525 015 022, сух.;6 360 руб.;6 260 руб.при обмене;Емкость25СтранаКитайJIS-кодY60-N24L-AПусковой ток300ПолярностьОбратнаяТипоразмер186x130x171;https://akb.ru//product/91621-VARTA_Powersports_Freshpack_52515_12V_25Ah_300A_(186x130x171)_op_525_015_022_suh.html
VARTA Powersports AGM YTX16CL-B-BS 12V 19Ah 270А (175x102x178) обр. пол. 519 905 027, сухозар.;8 400 руб.;8 300 руб.при обмене;Емкость19СтранаВьетнамJIS-кодYTX16CL-B-BSПусковой ток270ПолярностьОбратнаяТипоразмер175x102x178;https://akb.ru//product/91607-VARTA_Powersports_AGM_YTX16CL-B-BS_12V_19Ah_270A_(175x102x178)_obr_pol_519_905_027_suhozar.html
VARTA Powersports GEL 19 Ач 170А (186x82x173) обратная пол. 519 901 017;8 775 руб.;8 675 руб.при обмене;Емкость19СтранаКитайПусковой ток170ПолярностьОбратнаяТипоразмер186x82x173;https://akb.ru//product/2083-VARTA_Powersports_GEL_19_Ach_170A_(186x82x173)_obratnaya_pol_519_901_017.html
VARTA Powersports AGM YTX30L-BS 12V 30Ah 450А (166x127x175) обр. пол. 530 905 045, сухозар.;13 900 руб.;13 800 руб.при обмене;Емкость30СтранаВьетнамJIS-кодYTX30L-BSПусковой ток450ПолярностьОбратнаяТипоразмер166x127x175;https://akb.ru//product/91608-VARTA_Powersports_AGM_YTX30L-BS_12V_30Ah_450A_(166x127x175)_obr_pol_530_905_045_suhozar.html
