Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор TROJAN J305E-AC 6V 305A;31500руб.;30100руб.;≈мкость: 305 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 312x174x366√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-j305e-ac-6v-305a-312h174h366.html
јккумул€тор TROJAN T875-AGM 8V 160A;31600руб.;30400руб.;≈мкость: 160 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 262x179x273√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-t875-agm-8v-160a-262h179h273.html
јккумул€тор TROJAN J305G-AC 6V 315A;32400руб.;30800руб.;≈мкость: 315 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 312x174x366√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-j305g-ac-6v-315a-312h174h366.html
јккумул€тор TROJAN 27-GEL 12V 91A;32800руб.;31800руб.;≈мкость: 91 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 324x171x234√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-27-gel-12v-91a-324h171h234.html
јккумул€тор TROJAN J305PG-AC 6V 330A;34600руб.;33000руб.;≈мкость: 330 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 312x174x366√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-j305pg-ac-6v-330a-312h174h366.html
јккумул€тор TROJAN J185E-AC 12V 175A;34800руб.;33000руб.;≈мкость: 175 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 394x175x386√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-j185e-ac-12v-175a-394h175h386.html
јккумул€тор TROJAN 31-GEL 12V 102A;34800руб.;33600руб.;≈мкость: 102 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 329x171x243√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-31-gel-12v-102a-329h171h245.html
јккумул€тор TROJAN J305P-AC 6V 330A;35000руб.;33400руб.;≈мкость: 330 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 296x176x366√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-j305p-ac-6v-330a-296h176h366.html
јккумул€тор TROJAN J185G-AC 12V 185A;35400руб.;33600руб.;≈мкость: 185 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 394x175x386√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-j185g-ac-12v-185a-394h175h386.html
јккумул€тор TROJAN 6V-GEL 6V 189A;35400руб.;34200руб.;≈мкость: 189 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 260x181x276√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-6v-gel-6v-189a-260h181h276.html
јккумул€тор TROJAN TE35-GEL 6V 210A;35400руб.;34200руб.;≈мкость: 210 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 244x190x276√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-te35-gel-6v-210a-244h190h276.html
јккумул€тор TROJAN L16E-AC 6V 370A;36800руб.;35000руб.;≈мкость: 370 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 311x174x417√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-l16e-ac-6v-370a-311h174h417.html
јккумул€тор TROJAN J185PG-AC 12V 205A;38000руб.;36000руб.;≈мкость: 205 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 391x175x386√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-j185pg-ac-12v-205a-391h175h386.html
јккумул€тор TROJAN L16G-AC 6V 390A;38400руб.;36600руб.;≈мкость: 390 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 311x174x417√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-l16g-ac-6v-390a-311h174h417.html
јккумул€тор TROJAN J185P-AC 12V 205A;38400руб.;36400руб.;≈мкость: 185 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 380x176x374√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-j185p-ac-12v-205a-380h176h374.html
јккумул€тор TROJAN J305HG-AC 6V 360A;38800руб.;37000руб.;≈мкость: 360 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 312x174x366√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-j305hg-ac-6v-360a-312h174h366.html
